word,weight
arrange,6
choose,4
cite,17
copy,4
define,21
describe,14
draw,5
duplicate,7
identify,20
indicate,4
label,21
list,27
locate,10
match,14
memorize,10
name,22
order,5
outline,11
quote,7
read,4
recall,24
recite,12
recognize,14
record,13
relate,11
repeat,20
reproduce,11
review,4
select,16
state,23
tabulate,4
tell,4
underline,7
write,5
