word,weight
appraise,22
argue,12
arrange,5
assess,17
attach,4
choose,10
compare,18
conclude,13
contrast,8
core,6
counsel,4
create,4
criticize,11
critique,14
decide,4
defend,15
describe,4
design,4
determine,6
discriminate,9
estimate,15
evaluate,16
explain,9
grade,4
invent,8
judge,25
manage,15
mediate,9
prepare,12
probe,4
rate,5
rearrange,19
reconcile,12
release,6
rewrite,4
select,5
set up,15
supervise,9
synthesize,16
test,8
value,7
verify,9
weigh,5
